"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang J.; Cui Y.; Ren J.","Zhang, Jing (57295325300); Cui, Yani (56949557100); Ren, Jia (29567515500)","57295325300; 56949557100; 29567515500","Dynamic Mission Planning Algorithm for UAV Formation in Battlefield Environment","2023","IEEE Transactions on Aerospace and Electronic Systems","59","4","","3750","3765","15","29","10.1109/TAES.2022.3231244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146258040&doi=10.1109%2fTAES.2022.3231244&partnerID=40&md5=abcc81dd2848824c47a6427364c36565","Hainan University, School of Information and Communication Engineering, Haikou, 570228, China","Zhang J., Hainan University, School of Information and Communication Engineering, Haikou, 570228, China; Cui Y., Hainan University, School of Information and Communication Engineering, Haikou, 570228, China; Ren J., Hainan University, School of Information and Communication Engineering, Haikou, 570228, China","The limited time duration and spatial instability of TSTs increase the difficulty of mission planning for unmanned aerial vehicle (UAV) formations, which in turn affects the task execution abilities of UAVs. Aiming at this problem, a multi-UAV dynamic mission planning algorithm based on the time window mechanism is proposed under a distributed formation structure. The proposed algorithm comprehensively considers a variety of complex constraints involved in actual application scenarios and constructs a UAV formation mission planning model with minimum task execution cost and path planning cost as the optimization goal. In this article, particle swarm optimization algorithm is improved by introducing a specific particle coding method and a competitive co-evolutionary population updating strategy, to enhance the solution speed and accuracy of the mission planning model. In this way, the optimal task allocation strategy and task execution path are obtained to meet the mission requirements, and to achieve the multi-UAV cooperative reconnaissance, strike and evaluation of multiple TSTs. Furthermore, the effectiveness of the proposed algorithm is validated via simulations.  © 1965-2011 IEEE.","Mission planning; particle swarm optimization (PSO) algorithm; time-sensitive targets (TSTs); unmanned aerial vehicle formation","Antennas; Costs; Heuristic algorithms; Job analysis; Particle swarm optimization (PSO); Unmanned aerial vehicles (UAV); Aerial vehicle; Heuristics algorithm; Mission planning; Particle swarm optimization algorithm; Resource management; Task analysis; Time-sensitive target; Unmanned aerial vehicle formation; Vehicle formations; Motion planning","Y. Cui; Hainan University, School of Information and Communication Engineering, Haikou, 570228, China; email: ociue476eg@163.com","","Institute of Electrical and Electronics Engineers Inc.","00189251","","IEARA","","English","IEEE Trans. Aerosp. Electron. Syst.","Article","Final","","Scopus","2-s2.0-85146258040"
"Yu Y.; Lee S.","Yu, Yang (57221950153); Lee, Sanghwan (8985781100)","57221950153; 8985781100","Multi-UAV Coverage Path Assignment Algorithm Considering Flight Time and Energy Consumption","2024","IEEE Access","12","","","26150","26162","12","1","10.1109/ACCESS.2024.3366998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186090081&doi=10.1109%2fACCESS.2024.3366998&partnerID=40&md5=cd2922d67778a7f887138918d50703d2","Kookmin University, Department of Computer Science, Seoul, 02707, South Korea","Yu Y., Kookmin University, Department of Computer Science, Seoul, 02707, South Korea; Lee S., Kookmin University, Department of Computer Science, Seoul, 02707, South Korea","Coverage path planning is an important research direction for unmanned aerial vehicles (UAV), which are primarily used in ground search or mapping scenarios. Although there have been a large number of studies on UAV coverage path planning, there are still some problems in the cooperative work of multi-UAV in complex environments under the constraints of energy consumption and work efficiency requirements of UAV. To solve unnecessary energy loss when multiple UAVs jointly execute complex area coverage tasks and improve the overall work efficiency of the UAV swarm. In this study, we simulated the situation of multiple UAVs performing the mission of area coverage under the constraints of the corresponding energy consumption in a work environment with no-fly zones. We propose the use of multiple UAV base stations to provide takeoff and landing services for UAVs that perform missions. We proposed two algorithms. One is the multi-base station multi-UAV cooperative coverage path planning algorithm with flexible obstacle avoidance ability (MBS-MUCCPPAFOA), which performs coverage route planning from an entire area using multiple base stations to perform multi-UAV area coverage tasks. The other algorithm is a multi-UAV cooperative coverage path planning algorithm with flexible obstacle avoidance capability based on area segmentation (MUAV-CCPPAFOA-AS), which divides the entire work area and performs coverage path planning for each sub-area to perform multi-UAV area coverage tasks. We compared the proposed algorithm with the common scanning coverage path planning algorithm, and proved the robustness of the proposed MBS-MUCCPPAFOA and MUAV-CCPPAFOA-AS algorithms. © 2013 IEEE.","Cooperative unmanned aerial vehicle teams; coverage path planning problems; CPP; MTSP; multiple traveling salesmen problems; path planning; predictive task assignment; task allocation; UAV; unmanned aerial vehicles","Antennas; Base stations; Clustering algorithms; Energy dissipation; Energy efficiency; Energy utilization; Job analysis; Traveling salesman problem; Unmanned aerial vehicles (UAV); Aerial vehicle; Cooperative unmanned aerial vehicle team; Coverage path planning; Coverage path planning problem; CPP; MTSP; Multiple travelling salesmen problem; Path planning problems; Predictive models; Predictive task assignment; Search problem; Task allocation; Task analysis; Tasks assignments; Unmanned aerial vehicle; Motion planning","S. Lee; Kookmin University, Department of Computer Science, Seoul, 02707, South Korea; email: sanghwan@kookmin.ac.kr","","Institute of Electrical and Electronics Engineers Inc.","21693536","","","","English","IEEE Access","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85186090081"
"Wei M.; Sun Y.; Sun B.; Wang S.","Wei, Ming (56828627000); Sun, Yaru (58655683800); Sun, Bo (53986815600); Wang, Shengjie (57696913800)","56828627000; 58655683800; 53986815600; 57696913800","UAV distribution route and flight path collaborative planning based on deep reinforcement learning; [基于深度强化学习的无人机线路及航迹协同规划]","2023","China Safety Science Journal","33","8","","68","76","8","1","10.16265/j.cnki.issn1003-3033.2023.08.0038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174536572&doi=10.16265%2fj.cnki.issn1003-3033.2023.08.0038&partnerID=40&md5=5f90fd342b456cd3b3415f5762efcf20","School of Air Traffic Management, Civil Aviation University of China, Tianjin, 300300, China; Key Laboratory of Flight Techniques and Flight Safety, Civil Aviation Flight University of China, Sichuan, Guanghan, 618300, China","Wei M., School of Air Traffic Management, Civil Aviation University of China, Tianjin, 300300, China, Key Laboratory of Flight Techniques and Flight Safety, Civil Aviation Flight University of China, Sichuan, Guanghan, 618300, China; Sun Y., School of Air Traffic Management, Civil Aviation University of China, Tianjin, 300300, China; Sun B., School of Air Traffic Management, Civil Aviation University of China, Tianjin, 300300, China; Wang S., Key Laboratory of Flight Techniques and Flight Safety, Civil Aviation Flight University of China, Sichuan, Guanghan, 618300, China","In order to solve the logistics UAV distribution sequence and flight path collaborative planning problems, this paper proposed a bilevel programming model for the collaborative planning of UAV distribution route and flight path, where the locations of depots, customers and shelters on the ground, as well as the difference of UAVs' falling costs, were considered in a rasterized GIS(Geographic Information System). According to the characteristics of the problem, a two⁃stage hybrid algorithm based on deep reinforcement learning was designed. In the first stage, the deep reinforcement learning algorithm was used to generate the sequential delivery routes of multiple UAVs visiting customers, and A∗ algorithm was embedded in it. Based on this, the feasible shortest flight path of each UAV was searched in the second stage. Finally, an example was used to calculate the optimal UAV distribution route and its flight path scheme, and analyze the influence of parameter changes on it. Furthermore, our algorithm was further compared with the traditional intelligent algorithm to verify the effectiveness and correctness of the model and algorithm. The results show that: for the example of 30 customer points in the 6 km×6 km area, when the man⁃machine fall cost threshold is set to 1. 4, 5 UAVs with a total flight mileage of 52. 5 m are needed to complete the delivery task. Compared with a variety of traditional intelligent algorithms, the solution time is ranked as DRL, GA (Genetic Algorithm), DE(Differential Evolution) and PSO (Particle Swarm Optimization) in order from least to most. Especially for large⁃scale examples, the planning result of DRL has lower operating cost of UAVs, and its average solution and worst solution are far better than intelligent algorithms. © 2023 China Safety Science Journal. All rights reserved.","bi⁃level programming model; deep reinforcement learning (DRL); distribution route; flight path planning; unmanned aerial vehicle (UAV)","","","","Editorial Department of China Safety Science Journal","10033033","","","","Chinese","Ch. Saf. Sci. J.","Article","Final","","Scopus","2-s2.0-85174536572"
"","","","23rd International Conference on Algorithms and Architectures for Parallel Processing, ICA3PP 2023","2024","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14488 LNCS","","","","","2834","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188014042&partnerID=40&md5=b416456fee95d222f0f98c1a5ecce595","","","The proceedings contain 165 papers. The special focus in this conference is on Algorithms and Architectures for Parallel Processing. The topics include: MDCF: Multiple Dynamic Cuckoo Filters for LSM-Tree; a Game Theory Based Task Offloading Scheme for Maximizing Social Welfare in Edge Computing; research on Dos Attack Simulation and Detection in Low-Orbit Satellite Network; malware Detection Method Based on Visualization; TOC: Joint Task Offloading and Computation Reuse in Vehicular Edge Computing; Distributed Task Offloading for IoAV Using DDP-DQN; a Task Offloading and Resource Allocation Optimization Method in End-Edge-Cloud Orchestrated Computing; multi-agent Cooperative Intrusion Detection Based on Generative Data Augmentation; an Uncertainty-Aware Auction Mechanism for Federated Learning; Long Short-Term Deterministic Policy Gradient for Joint Optimization of Computational Offloading and Resource Allocation in MEC; query Optimization Mechanism for Blockchain-Based Efficient Data Traceability; research on the Evolution Path of Network Hotspot Events Based on the Event Evolutionary Graph; Task Offloading in UAV-Assisted Vehicular Edge Computing Networks; path Planning of Coastal Ships Based on Improved Hybrid A-Star; data Augmentation Method Based on Partial Noise Diffusion Strategy for One-Class Defect Detection Task; K Asynchronous Federated Learning with Cosine Similarity Based Aggregation on Non-IID Data; MPQUIC Transmission Control Strategy for SDN-Based Satellite Network; an Energy Prediction Method for Energy Harvesting Wireless Sensor with Dynamically Adjusting Weight Factor; Bayesian Optimization for Auto-tuning Convolution Neural Network on GPU; persistent Sketch: A Memory-Efficient and Robust Algorithm for Finding Top-k Persistent Flows; faCa: Fast Aware and Competition-Avoided Balancing for Data Center Network; Optimizing GNN Inference Processing on Very Long Vector Processor; GDTM: Gaussian Differential Trust Mechanism for Optimal Recommender System; privacy-Enhanced Dynamic Symmetric Searchable Encryption with Efficient Searches Under Sparse Keywords; CBA Sketch: A Sketching Algorithm Mining Persistent Batches in Data Streams; joint Optimization of System Bandwidth and Transmitting Power in Space-Air-Ground Integrated Mobile Edge Computing.","","","","Tari Z.; Li K.; Wu H.","Springer Science and Business Media Deutschland GmbH","03029743","978-981970800-0","","","English","Lect. Notes Comput. Sci.","Conference review","Final","","Scopus","2-s2.0-85188014042"
"Dong Q.; Zhang J.","Dong, Qichen (58084942000); Zhang, Jia (36112437900)","58084942000; 36112437900","Distributed Cooperative Complete Coverage Path Planning in an Unknown Environment Based on a Heuristic Method","2024","Unmanned Systems","12","1","","149","160","11","6","10.1142/S2301385024500109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147162783&doi=10.1142%2fS2301385024500109&partnerID=40&md5=7c55aad9300e7547f9dc800efc4dc7d6","School of Automation, Beijing Institute of Technology, Beijing, 100081, China; National Key Laboratory of Autonomous Intelligent Unmanned Systems, Beijing Institute of Technology, Beijing, 100081, China","Dong Q., School of Automation, Beijing Institute of Technology, Beijing, 100081, China, National Key Laboratory of Autonomous Intelligent Unmanned Systems, Beijing Institute of Technology, Beijing, 100081, China; Zhang J., School of Automation, Beijing Institute of Technology, Beijing, 100081, China, National Key Laboratory of Autonomous Intelligent Unmanned Systems, Beijing Institute of Technology, Beijing, 100081, China","This paper proposes a distributed collaborative complete coverage path planning (CCPP) algorithm based on a heuristic method to solve a CCPP problem for multiple agents in an unknown environment. Based on the relationship between path length, energy consumption and number of turns, the algorithm instructs the agents to autonomously plan their respective paths in real time by giving the priority of directions. Simulation experiments show that the proposed CCPP algorithm can guarantee efficient collision-free complete coverage compared with related approaches.  © 2024 World Scientific Publishing Company.","AnyLogic; Complete coverage path planning (CCPP); distributed algorithm; multi-unmanned aerial vehicle (UAV) system; simulation","Antennas; Autonomous agents; Energy utilization; Motion planning; Multi agent systems; Unmanned aerial vehicles (UAV); Anylogic; Complete coverage path planning; Complete coverages; Coverage path planning; Multi-unmanned aerial vehicle  system; Path planning problems; Path-planning algorithm; Simulation; Unknown environments; Unmanned aerial vehicle systems; Heuristic methods","","","World Scientific","23013850","","","","English","Unmanned Syst.","Article","Final","","Scopus","2-s2.0-85147162783"
"Wang C.; Zhang L.; Gao Y.; Zheng X.; Wang Q.","Wang, Chuanyue (57790437400); Zhang, Lei (57789350300); Gao, Yifan (58308768500); Zheng, Xiaoyuan (57191196168); Wang, Qianling (55826886000)","57790437400; 57789350300; 58308768500; 57191196168; 55826886000","A Cooperative Game Hybrid Optimization Algorithm Applied to UAV Inspection Path Planning in Urban Pipe Corridors","2023","Mathematics","11","16","3620","","","","2","10.3390/math11163620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187878830&doi=10.3390%2fmath11163620&partnerID=40&md5=d885d7049c7f6db68bdb8d63faf18dc4","School of Artificial Intelligence and Data Science, Hebei University of Technology, Tianjin, 300132, China","Wang C., School of Artificial Intelligence and Data Science, Hebei University of Technology, Tianjin, 300132, China; Zhang L., School of Artificial Intelligence and Data Science, Hebei University of Technology, Tianjin, 300132, China; Gao Y., School of Artificial Intelligence and Data Science, Hebei University of Technology, Tianjin, 300132, China; Zheng X., School of Artificial Intelligence and Data Science, Hebei University of Technology, Tianjin, 300132, China; Wang Q., School of Artificial Intelligence and Data Science, Hebei University of Technology, Tianjin, 300132, China","This paper proposes an improved algorithm applied to path planning for the inspection of unmanned aerial vehicles (UAVs) in urban pipe corridors, which introduces a collaborative game between spherical vector particle swarm optimization (SPSO) and differential evolution (DE) algorithms. Firstly, a high-precision 3D grid map model of urban pipe corridors is constructed based on the actual urban situation. Secondly, the cost function is formulated, and the constraints for ensuring the safe and smooth inspection of UAVs are proposed to transform path planning into an optimization problem. Finally, a hybrid algorithm of SPSO and DE algorithms based on the Nash bargaining theory is proposed by introducing a cooperative game model for optimizing the cost function to plan the optimal path of UAV inspection in complex urban pipe corridors. To evaluate the performance of the proposed algorithm (GSPSODE), the SPSO, DE, genetic algorithm (GA), and ant colony optimization (ACO) are compared with GSPSODE, and the results show that GSPSODE is superior to other methods in UAV inspection path planning. However, the selection of algorithm parameters, the difference in the experimental environment, and the randomness of experimental results may affect the accuracy of experimental results. In addition, a high-precision urban pipe corridors scenario is constructed based on the RflySim platform to dynamically simulate the optimal path planning of UAV inspection in real urban pipe corridors. © 2023 by the authors.","differential evolution; Nash bargaining theory; path planning; spherical vector particle swarm optimization; UAV inspection; urban pipe corridors","","L. Zhang; School of Artificial Intelligence and Data Science, Hebei University of Technology, Tianjin, 300132, China; email: 2007094@hebut.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","22277390","","","","English","Mathematics","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85187878830"
"Deng L.; Gong W.; Liwang M.; Li L.; Zhang B.; Li C.","Deng, Liyuan (58162535100); Gong, Wei (56530078100); Liwang, Minghui (56303582000); Li, Li (56261236100); Zhang, Baoxian (7406904100); Li, Cheng (57208500706)","58162535100; 56530078100; 56303582000; 56261236100; 7406904100; 57208500706","Towards Intelligent Mobile Crowdsensing With Task State Information Sharing Over Edge-Assisted UAV Networks","2024","IEEE Transactions on Vehicular Technology","73","8","","11773","11788","15","5","10.1109/TVT.2024.3369089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186074609&doi=10.1109%2fTVT.2024.3369089&partnerID=40&md5=e50bfac456c82843a0ce327fc06109e1","Tongji University, Department of Control Science and Engineering, Shanghai, 201804, China; Tongji University, Shanghai Research Institute for Intelligent Autonomous Systems, Shanghai, 201210, China; Xiamen University, School of Informatics, Xiamen, 361005, China; University of Chinese Academy of Sciences, Research Center of Ubiquitous Sensor Networks, Beijing, 100049, China; Simon Fraser University, School of Engineering Science, Burnaby, V5A 1S6, BC, Canada; Memorial University, St. John's, A1B 3X5, NL, Canada","Deng L., Tongji University, Department of Control Science and Engineering, Shanghai, 201804, China, Tongji University, Shanghai Research Institute for Intelligent Autonomous Systems, Shanghai, 201210, China; Gong W., Tongji University, Department of Control Science and Engineering, Shanghai, 201804, China, Tongji University, Shanghai Research Institute for Intelligent Autonomous Systems, Shanghai, 201210, China; Liwang M., Xiamen University, School of Informatics, Xiamen, 361005, China; Li L., Tongji University, Department of Control Science and Engineering, Shanghai, 201804, China, Tongji University, Shanghai Research Institute for Intelligent Autonomous Systems, Shanghai, 201210, China; Zhang B., University of Chinese Academy of Sciences, Research Center of Ubiquitous Sensor Networks, Beijing, 100049, China; Li C., Simon Fraser University, School of Engineering Science, Burnaby, V5A 1S6, BC, Canada, Memorial University, St. John's, A1B 3X5, NL, Canada","With the rapid development of edge computing technology, edge-assisted unmanned aerial vehicle (UAV) networks have become popular, helping with fast and cost-effective data collection in mobile crowdsensing (MCS) environments. This paper investigates the online data collection problem for MCS over an edge-assisted UAV network architecture, where UAVs work to collect the data required by tasks at different on-ground point-of-interests (PoIs) in an autonomous and cooperative manner. Different from conventional edge-assisted UAV networks, edge nodes in our paper help distribute, aggregate, share, and update the task state information (TSI, e.g., if a task has been completed, or if it still requires more data), to support efficient and cost-effective data collection, e.g., avoiding repetitive and ineffective task execution. In particular, a UAV can exchange TSI with an edge node when it is within the signal coverage of the edge node, while making decisions on PoI selection and path planning in an online and decentralized manner. To address the issue of edge-assisted UAV data collection, we propose a multi-agent deep reinforcement learning-based algorithm using personalized training with decentralized executing (PTDE) architecture. Different from the traditional centralized training with decentralized executing (CTDE) architecture, our considered architecture adopts the agent-specific state for critic networks instead of the joint observation, thus achieving effective utilization of environmental information. Furthermore, we propose an observation enhancement algorithm based on artificial potential field (APF). Extensive simulation results demonstrate that our proposed algorithm greatly outperforms baseline algorithms in terms of total profit, data collection ratio, geographical fairness, and energy efficiency.  © 1967-2012 IEEE.","Decentralized and autonomous data collection; mobile crowdsensing; mobile edge computing; multi-agent deep reinforcement learning; task state information sharing","Antennas; Cost effectiveness; Data acquisition; Data handling; Deep learning; Energy efficiency; Information analysis; Job analysis; Learning algorithms; Mobile edge computing; Motion planning; Multi agent systems; Network architecture; Reinforcement learning; Unmanned aerial vehicles (UAV); Crowdsensing; Data collection; Decentralised; Decentralized and autonomous data collection; Heuristics algorithm; Information sharing; Mobile crowdsensing; Multi agent; Multi-agent deep reinforcement learning; Reinforcement learnings; State information; Task analysis; Task state; Task state information sharing; Heuristic algorithms","W. Gong; Tongji University, Department of Control Science and Engineering, Shanghai, 201804, China; email: weigong@tongji.edu.cn","","Institute of Electrical and Electronics Engineers Inc.","00189545","","ITVTA","","English","IEEE Trans. Veh. Technol.","Article","Final","","Scopus","2-s2.0-85186074609"
"Shi M.; Feng X.; Pan S.; Song X.; Jiang L.","Shi, Min (58534586300); Feng, Xia (56896504200); Pan, Senshan (37051105300); Song, Xiangmei (9336105100); Jiang, Linghui (58534586400)","58534586300; 56896504200; 37051105300; 9336105100; 58534586400","A Collaborative Path Planning Method for Intelligent Agricultural Machinery Based on Unmanned Aerial Vehicles","2023","Electronics (Switzerland)","12","15","3232","","","","7","10.3390/electronics12153232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167805752&doi=10.3390%2felectronics12153232&partnerID=40&md5=4d2ca7b78b9e87baade42db25baca170","School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212000, China; School of Automotive and Traffic Engineering, Jiangsu University, Zhenjiang, 212000, China","Shi M., School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212000, China; Feng X., School of Automotive and Traffic Engineering, Jiangsu University, Zhenjiang, 212000, China; Pan S., School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212000, China; Song X., School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212000, China; Jiang L., School of Automotive and Traffic Engineering, Jiangsu University, Zhenjiang, 212000, China","The development of agricultural farming has evolved from traditional agricultural machinery due to its efficiency and autonomy. Intelligent agricultural machinery is capable of autonomous driving and remote control, but due to its limited perception of farmland and field obstacles, the assistance of unmanned aerial vehicles (UAVs) is required. Although existing intelligent systems have greater advantages than traditional agricultural machinery in improving the quality of operations and reducing labor costs, they also produce complex operational planning problems. Especially as agricultural products and fields become more diversified, it is necessary to develop an adaptive operation planning method that takes into account the efficiency and quality of work. However, the existing operation planning methods lack practicality and do not guarantee global optimization because traditional planners only consider the path commands and generate the path in the rectangular field without considering other factors. To overcome these drawbacks, this paper proposes a novel and practical collaborative path planning method for intelligent agricultural machinery based on unmanned aerial vehicles. First, we utilize UAVs for obstacle detection. With the field information and operation data preprocessed, automatic agricultural machinery could be assisted in avoiding obstacles in the field. Second, by considering both the historical state of the current operation and the statistics from previous operations, the real-time control of agricultural machinery is determined. Therefore, the K-means algorithm is used to extract key control parameters and discretize the state space of agricultural machinery. Finally, the dynamic operation plan is established based on the Markov chain. This plan can estimate the probability of agricultural machinery transitioning from one state to another by analyzing data, thereby dynamically determining real-time control strategies. The field test with an automatic tractor shows that the operation planner can achieve higher performance than the other two popular methods. © 2023 by the authors.","agricultural machinery; autonomous operation; Markov chain; UAVs","","X. Feng; School of Automotive and Traffic Engineering, Jiangsu University, Zhenjiang, 212000, China; email: xiazio@ujs.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","20799292","","","","English","Electronics (Switzerland)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85167805752"
"Wang X.; Cheng M.; Zhang S.; Gong H.","Wang, Xinhua (56579411700); Cheng, Mingyan (58555477100); Zhang, Shuai (57738022200); Gong, Huajun (15843049900)","56579411700; 58555477100; 57738022200; 15843049900","Multi-UAV Cooperative Obstacle Avoidance of 3D Vector Field Histogram Plus and Dynamic Window Approach","2023","Drones","7","8","504","","","","6","10.3390/drones7080504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169148710&doi=10.3390%2fdrones7080504&partnerID=40&md5=424e0b4b24513c597b8087b3c36735d0","College of Automation Engineering, Nanjing University of Aeronautics & Astronautics, Nanjing, 210016, China","Wang X., College of Automation Engineering, Nanjing University of Aeronautics & Astronautics, Nanjing, 210016, China; Cheng M., College of Automation Engineering, Nanjing University of Aeronautics & Astronautics, Nanjing, 210016, China; Zhang S., College of Automation Engineering, Nanjing University of Aeronautics & Astronautics, Nanjing, 210016, China; Gong H., College of Automation Engineering, Nanjing University of Aeronautics & Astronautics, Nanjing, 210016, China","In this paper, we propose a fusion algorithm that integrates the 3D vector field histogram plus (VFH+) algorithm and the improved dynamic window approach (DWA) algorithm. The aim is to address the challenge of cooperative obstacle avoidance faced by multi-UAV formation flying in unknown environments. First, according to the navigation evaluation function of the standard DWA algorithm, the target distance is introduced to correct the azimuth. Then, aiming at the problem that the fixed weight mechanism in standard DWA algorithm is unreasonable, we combine the A* algorithm and introduce variable weight factors related to azimuth to improve the target orientation ability in local path planning. A new rotation cost evaluation function is added to improve the obstacle avoidance ability of two-dimensional UAV. Then, 3D VFH+ algorithm is introduced and integrated with improved DWA algorithm to design a distributed cooperative formation obstacle avoidance control algorithm. Simulation validation suggests that compared with the traditional DWA algorithm, the improved collaborative obstacle avoidance control algorithm can greatly optimize the obstacle avoidance effect of UAVs’ formation flight. © 2023 by the authors.","DWA algorithm; formation tracking control; multi-UAV formation; UAV obstacle avoidance; VFH+ algorithm","Air navigation; Cost functions; Flight simulators; Target tracking; Unmanned aerial vehicles (UAV); Dynamic window approach; Dynamic window approach algorithm; Formation tracking; Formation tracking control; Multi UAV; Multi-UAV formation; Obstacles avoidance; Tracking controls; UAV obstacle avoidance; Vector field histogram plus algorithm; Vector field histograms; Motion planning","X. Wang; College of Automation Engineering, Nanjing University of Aeronautics & Astronautics, Nanjing, 210016, China; email: xhwang@nuaa.edu","","Multidisciplinary Digital Publishing Institute (MDPI)","2504446X","","","","English","Drones","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85169148710"
"Liu Z.; Shao W.; Hao Y.; Wang J.; Zhang C.; Peng Z.","Liu, Ziwei (58642455900); Shao, Weiping (14324071100); Hao, Yongping (15834595000); Wang, Junjie (58288325300); Zhang, Chunpeng (58642455800); Peng, Zhaowei (58641539300)","58642455900; 14324071100; 15834595000; 58288325300; 58642455800; 58641539300","UAV Cluster Obstacle Avoidance Trajectory Planning Integrating Collaborative Control Design","2024","Proceedings of SPIE - The International Society for Optical Engineering","13071","","130711F","","","","0","10.1117/12.3025453","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187233704&doi=10.1117%2f12.3025453&partnerID=40&md5=3490b8aa2812d4fe6c562561c728e82c","School of Mechanical Engineering, Shenyang Ligong University, Shenyang, China; Liaoning Key Laboratory of Advanced Manufacturing Technology and Equipment, Liaoning, China","Liu Z., School of Mechanical Engineering, Shenyang Ligong University, Shenyang, China, Liaoning Key Laboratory of Advanced Manufacturing Technology and Equipment, Liaoning, China; Shao W., School of Mechanical Engineering, Shenyang Ligong University, Shenyang, China, Liaoning Key Laboratory of Advanced Manufacturing Technology and Equipment, Liaoning, China; Hao Y., School of Mechanical Engineering, Shenyang Ligong University, Shenyang, China, Liaoning Key Laboratory of Advanced Manufacturing Technology and Equipment, Liaoning, China; Wang J., School of Mechanical Engineering, Shenyang Ligong University, Shenyang, China, Liaoning Key Laboratory of Advanced Manufacturing Technology and Equipment, Liaoning, China; Zhang C., School of Mechanical Engineering, Shenyang Ligong University, Shenyang, China, Liaoning Key Laboratory of Advanced Manufacturing Technology and Equipment, Liaoning, China; Peng Z., School of Mechanical Engineering, Shenyang Ligong University, Shenyang, China, Liaoning Key Laboratory of Advanced Manufacturing Technology and Equipment, Liaoning, China","This paper aims to propose an obstacle avoidance trajectory planning and group collaborative control method for UAV based on intelligent cluster. Based on the RRT obstacle avoidance algorithm, the consistency theory algorithm of group collaborative control strategy is fused, and the coordination and collaboration between UAVs are realized through information exchange and distributed control methods, so as to maintain cluster cooperative flight while avoiding obstacles and complete specific patrol strike tasks. The experimental results show that the algorithm can effectively realize the obstacle avoidance trajectory planning and group collaborative control of UAV, and improve the safety, stability and maneuverability of UAV. © 2024 SPIE.","Drones; Group collaborative control; MATLAB; Obstacle avoidance trajectory planning","Aircraft control; Aircraft detection; Clustering algorithms; Distributed parameter control systems; Trajectories; Collaborative control; Consistency theory; Control design; Control methods; Control strategies; Group collaborative control; Obstacle avoidance algorithms; Obstacle avoidance trajectory planning; Obstacles avoidance; Trajectory Planning; Drones","","Wei Y.; Liu F.","SPIE","0277786X","978-151067460-8","PSISD","","English","Proc SPIE Int Soc Opt Eng","Conference paper","Final","","Scopus","2-s2.0-85187233704"
